比,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n047.png,bǐ,"to compare, liken; comparison; than",4
他,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n048.png,tā,"other, another; he, she, it",5
们,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n049.png,men,adjunct pronoun indicate plural,5
出,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n050.png,chū,"go out, send out; stand; produce",5
可,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n051.png,kě,"may, can, -able; possibly",5
对,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n052.png,duì,"correct, right; facing, opposed",5
生,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n053.png,shēng,"life, living, lifetime; birth",5
发,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n054.png,fā,"issue, dispatch, send out; hair",5
用,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n055.png,yòng,"use, employ, apply, operate; use",5
去,http://pic.guoxuemi.com//zixyb/1/A00001i001.png;http://pic.guoxuemi.com//zixyb/2/A00001j001.png;http://pic.guoxuemi.com//zixyb/4/A00001l001.png;http://pic.guoxuemi.com//zixyb/5/A00001m001.png;http://pic.guoxuemi.com//zixyb/6/A00001n056.png,qù,"go away, leave, depart",5
